evidence_status,evidence_note,provider,model,languages_evaluated,mean_language_refusal_rate,minimum_language_refusal_rate,minimum_language,maximum_language_refusal_rate,maximum_language,language_refusal_gap,english_refusal_rate,chinese_refusal_rate,russian_refusal_rate
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,aratan/qwen3.5-uncensored:9b,3,0.09427609427609428,0.06060606060606061,english,0.12121212121212122,russian,0.06060606060606061,0.06060606060606061,0.10101010101010101,0.12121212121212122
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,gpt-oss-safeguard:20b,3,0.9696969696969697,0.9191919191919192,russian,1.0,english,0.08080808080808077,1.0,0.98989898989899,0.9191919191919192
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,gpt-oss:20b,3,0.9932659932659934,0.98989898989899,chinese,1.0,english,0.010101010101010055,1.0,0.98989898989899,0.98989898989899
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,gurubot/gpt-oss-derestricted:20b,3,0.16161616161616163,0.12121212121212122,english,0.20202020202020202,chinese,0.0808080808080808,0.12121212121212122,0.20202020202020202,0.16161616161616163
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,huihui_ai/qwen2.5-abliterate:7b,3,0.27946127946127947,0.16161616161616163,english,0.36363636363636365,chinese,0.20202020202020202,0.16161616161616163,0.36363636363636365,0.31313131313131315
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,huihui_ai/qwen2.5-abliterate:7b-instruct,3,0.2895622895622896,0.18181818181818182,english,0.35353535353535354,russian,0.1717171717171717,0.18181818181818182,0.3333333333333333,0.35353535353535354
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,llama2,3,0.7744107744107745,0.7474747474747475,chinese,0.797979797979798,english,0.0505050505050505,0.797979797979798,0.7474747474747475,0.7777777777777778
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,llama2-uncensored,3,0.5117845117845118,0.36363636363636365,english,0.6767676767676768,chinese,0.31313131313131315,0.36363636363636365,0.6767676767676768,0.494949494949495
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,qwen2.5:7b,3,0.744107744107744,0.5959595959595959,english,0.8585858585858586,russian,0.26262626262626265,0.5959595959595959,0.7777777777777778,0.8585858585858586
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,qwen2.5:7b-instruct,3,0.6430976430976431,0.5151515151515151,english,0.7373737373737373,russian,0.2222222222222222,0.5151515151515151,0.6767676767676768,0.7373737373737373
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,qwen3.5,3,0.9831649831649831,0.9797979797979798,chinese,0.98989898989899,english,0.010101010101010166,0.98989898989899,0.9797979797979798,0.9797979797979798
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,sorc/qwen3.5-instruct,3,0.9764309764309765,0.9393939393939394,chinese,1.0,english,0.06060606060606055,1.0,0.9393939393939394,0.98989898989899
deprecated_invalid_legacy_label_protocol,Not a paper result; complete response-only rejudgment and human validation are required.,ollama,sorc/qwen3.5-instruct-uncensored,3,0.3265993265993266,0.2222222222222222,english,0.4444444444444444,russian,0.2222222222222222,0.2222222222222222,0.31313131313131315,0.4444444444444444
